Job,Province,Min_Years,Max_Years,Min_Salary,Max_Salary
Factory and Manufacturer,Jakarta,0,1,4500000,4600000
Sales,Jawa,0,1,6000000,8000000
Administration,Jakarta,0,0,4300000,5500000
Administration,Jakarta,0,1,15000000,17000000
Business,Jakarta,0,1,4100000,4200000
Hospitality & Travel,Jawa,0,0,3000000,4500000
Consultant,Jawa,0,0,1500000,3500000
Factory and Manufacturer,Jawa,0,1,2800000,3700000
Other,Kalimantan,0,0,8000000,9000000
Hospitality & Travel,Jawa,0,1,3300000,4000000
Other,Jawa,0,0,4700000,6700000
Consultant,Jawa,0,0,4700000,6700000
Consultant,Jawa,0,1,4700000,6700000
Factory and Manufacturer,Jawa,0,1,4300000,5000000
Sales,Jakarta,0,1,8000000,10000000
Other,Sumatera,0,1,2800000,3100000
Factory and Manufacturer,Jakarta,0,0,6000000,10000000
Factory and Manufacturer,Jakarta,0,1,5000000,15000000
"Accounting, Finance, Banking",Jawa,0,1,3000000,6000000
Consultant,Jakarta,0,0,5000000,5500000
Consultant,Jakarta,0,1,4000000,4500000
"Accounting, Finance, Banking",Jawa,0,1,3700000,5000000
Sales,Jakarta,0,1,4500000,4900000
Factory and Manufacturer,Kalimantan,0,0,5000000,8000000
Consultant,Jakarta,0,1,4000000,6000000
Other,Jakarta,0,1,7000000,10000000
Administration,Jawa,0,0,4000000,6000000
Business,Jakarta,0,1,6000000,10000000
Hospitality & Travel,Jawa,0,0,4000000,7000000
Data Analyst & Data Science,Jakarta,0,1,2000000,3000000
Other,Jawa,0,1,4700000,6700000
Hospitality & Travel,Jakarta,0,0,7000000,30000000
Other,Jawa,0,1,3000000,5000000
Factory and Manufacturer,Jawa,0,1,2000000,2200000
Sales,Sumatera,0,1,3000000,3050000
Other,Sumatera,0,1,3000000,4200000
Hospitality & Travel,Jawa,0,1,4300000,5500000
Business,Jawa,0,0,4000000,5000000
Other,Jakarta,0,0,4600000,4800000
Sales,Jakarta,0,0,18000000,25000000
Consultant,Sumatera,0,0,2800000,3300000
"Accounting, Finance, Banking",Jawa,0,1,1500000,1812935
"Accounting, Finance, Banking",Jawa,0,0,4700000,6700000
Consultant,Jakarta,0,0,4000000,5000000
Consultant,Jakarta,0,1,7000000,30000000
Factory and Manufacturer,Jawa,0,0,3700000,4500000
Hospitality & Travel,Jakarta,0,1,8000000,10000000
"Accounting, Finance, Banking",Bali dan Nusa Tenggara,0,1,2800000,3500000
Sales,Jakarta,0,0,3000000,5000000
"Accounting, Finance, Banking",Jawa,0,0,3800000,10000000
Other,Jawa,0,1,3000000,4200000
Sales,Jawa,0,0,3000000,4000000
Sales,Sumatera,0,0,2000000,3400000
Art & Design,Jawa,0,0,2000000,4000000
Factory and Manufacturer,Jawa,0,0,3000000,4000000
Sales,Jakarta,0,1,3000000,5000000
Sales,Kalimantan,0,0,10000000,15000000
Business,Jakarta,0,0,4700000,6700000
Consultant,Jawa,0,1,5000000,6000000
Art & Design,Jawa,0,0,3000000,3500000
Administration,Jawa,0,0,1000000,3000000
Other,Jakarta,0,0,15000000,25000000
Factory and Manufacturer,Jakarta,0,0,6000000,10000000
Business,Jakarta,0,1,4000000,6000000
Asuransi,Jakarta,0,0,4000000,5000000
Other,Jawa,0,1,5000000,20000000
Factory and Manufacturer,Jakarta,0,0,4700000,6700000
Consultant,Jakarta,0,1,8000000,12000000
Art & Design,Sumatera,0,0,3000000,4200000
Hospitality & Travel,Jawa,0,0,2000000,4000000
Factory and Manufacturer,Sumatera,0,0,7000000,10000000
Sales,Jakarta,0,0,4000000,7000000
Consultant,Jakarta,0,0,6000000,8500000
Sales,Jawa,0,0,4300000,5300000
Internet & New Media,Sumatera,0,0,3200000,4000000
Sales,Jawa,0,0,1500000,3500000
Other,Jakarta,0,1,4600000,5200000
Sales,Jakarta,0,0,24500000,37000000
Business,Jawa,0,0,1800000,2500000
Journalistic and Entertainment,Jakarta,0,0,4800000,5500000
Consultant,Jakarta,0,1,10000000,12000000
Sales,Kalimantan,0,1,8000000,9000000
Marketing,Jakarta,0,1,4600000,7000000
Business,Jakarta,0,1,4400000,4600000
Sales,Jakarta,0,1,5000000,6000000
Consultant,Jakarta,0,0,3500000,5000000
Hospitality & Travel,Jakarta,0,1,4600000,5000000
"Accounting, Finance, Banking",Jakarta,0,0,8000000,10000000
Factory and Manufacturer,Jakarta,0,0,1500000,2000000
Sales,Sumatera,0,0,3300000,5000000
Business,Jakarta,0,1,4000000,4600000
Consultant,Jakarta,0,0,4500000,5000000
Sales,Jakarta,0,0,4600000,4700000
Other,Jawa,0,1,2500000,2850000
"Accounting, Finance, Banking",Bali dan Nusa Tenggara,0,1,2200000,4500000
Public Relation,Bali dan Nusa Tenggara,0,1,3000000,4000000
Factory and Manufacturer,Sulawesi,0,0,3377265,3400000
Other,Jakarta,0,1,2700000,5000000
"Accounting, Finance, Banking",Jakarta,0,1,20000000,30000000
Internet & New Media,Jawa,0,1,4700000,6700000
Administration,Jakarta,0,0,6000000,15000000
Human Resources & General Affair,Jakarta,0,1,4000000,4600000
Consultant,Jakarta,0,0,2000000,5000000
Factory and Manufacturer,Jawa,0,1,1800000,2100000
Other,Jawa,0,1,3000000,3800000
Business,Jakarta,0,0,6000000,19500000
Hospitality & Travel,Jawa,0,0,5000000,20000000
Business,Jakarta,0,1,8000000,9000000
Factory and Manufacturer,Jawa,0,0,4000000,7000000
Journalistic and Entertainment,Jakarta,0,1,8000000,15000000
Consultant,Jakarta,0,0,25000000,30000000
Sales,Other,0,0,4500000,5000000
Hospitality & Travel,Jakarta,0,0,4300000,4500000
Business,Sulawesi,0,0,2800000,3500000
Factory and Manufacturer,Jakarta,0,0,1500000,3000000
"Accounting, Finance, Banking",Jakarta,0,1,4000000,4600000
"Accounting, Finance, Banking",Jakarta,0,0,6000000,30000000
Marketing,Other,0,0,55665000,66798000
Other,Jawa,0,0,5000000,10000000
Other,Jakarta,0,0,7000000,12000000
"Accounting, Finance, Banking",Jakarta,0,0,12000000,30000000
Sales,Kalimantan,0,1,2300000,6000000
Administration,Jakarta,0,1,7000000,8000000
Other,Kalimantan,0,1,9000000,10000000
Factory and Manufacturer,Jakarta,0,0,4600000,5000000
Sales,Jakarta,0,0,2200000,4000000
Journalistic and Entertainment,Jawa,0,1,1800000,4500000
Sales,Jakarta,0,0,4400000,4600000
Consultant,Jakarta,0,1,3000000,4000000
Other,Jakarta,0,1,15000000,18000000
Consultant,Sumatera,0,1,2000000,3000000
Marketing,Jawa,0,0,3000000,3500000
Consultant,Jakarta,0,1,6000000,8000000
Human Resources & General Affair,Jakarta,0,0,1000000,2000000
Marketing,Jawa,0,0,3000000,5000000
Factory and Manufacturer,Jawa,0,1,3700000,4000000
Hospitality & Travel,Jawa,0,0,10000000,20000000
Hospitality & Travel,Jakarta,0,1,3500000,4500000
Internet & New Media,Jakarta,0,0,3000000,3500000
Sales,Jakarta,0,0,4600000,4700000
Hospitality & Travel,Jawa,0,0,4000000,4500000
Consultant,Jakarta,0,0,4600000,4700000
Sales,Jakarta,0,1,2000000,10000000
Asuransi,Jakarta,0,1,6000000,10000000
Art & Design,Jakarta,0,0,4000000,4500000
Consultant,Jakarta,0,1,8000000,10000000
Administration,Jawa,0,1,3000000,3500000
Internet & New Media,Jawa,0,1,4000000,5000000
Sales,Jakarta,0,0,3750000,7000000
"Accounting, Finance, Banking",Kalimantan,0,0,8000000,9000000
Sales,Jakarta,0,1,5500000,6500000
Sales,Jawa,0,0,4279000,4279787
Consultant,Jakarta,0,1,2000000,2200000
Consultant,Jakarta,0,0,4400000,5000000
Sales,Jakarta,0,1,4400000,5700000
Hospitality & Travel,Jakarta,0,0,4416186,5000000
Hospitality & Travel,Jakarta,0,0,4000000,4600000
Law,Jawa,0,0,3000000,4000000
Art & Design,Jakarta,0,0,4500000,6500000
Education,Jawa,0,0,4500000,6000000
"Accounting, Finance, Banking",Sumatera,0,0,200000,1000000
Data Analyst & Data Science,Kalimantan,0,1,8000000,9000000
Consultant,Jawa,0,0,12000000,20000000
Consultant,Jawa,0,0,3000000,5000000
Marketing,Jakarta,0,1,3250000,4550000
Factory and Manufacturer,Jawa,0,1,5000000,8000000
Art & Design,Jakarta,0,0,4416186,5000000
"Accounting, Finance, Banking",Jawa,0,1,3000000,6000000
Marketing,Jakarta,0,0,6000000,10000000
Marketing,Jawa,0,0,200000,1000000
Sales,Jawa,0,1,200000,1000000
Survey Respondent,Jawa,0,0,2500000,3000000
Survey Respondent,Jawa,0,0,4000000,7500000
Consultant,Jakarta,0,1,5000000,6500000
Consultant,Jakarta,0,0,10000000,12000000
Hospitality & Travel,Sumatera,0,1,200000,1000000
Sales,Jakarta,0,0,4000000,5500000
"Accounting, Finance, Banking",Jawa,0,0,4000000,10000000
Other,Jakarta,0,0,4600000,4700000
Consultant,Jakarta,0,0,5300000,6300000
Business,Jakarta,0,1,6000000,15000000
Factory and Manufacturer,Jawa,0,1,200000,1000000
Business,Sumatera,0,0,200000,1000000
Research & Development,Sumatera,0,0,200000,1000000
Survey Respondent,Jawa,0,0,200000,1000000
Survey Respondent,Jawa,0,0,4000000,7000000
Other,Jawa,0,0,1800000,4500000
"Accounting, Finance, Banking",Sulawesi,0,0,2000000,2700000
"Accounting, Finance, Banking",Sumatera,0,0,200000,1000000
Administration,Jawa,0,0,3000000,5000000
Sales,Sumatera,0,0,2000000,3000000
"Accounting, Finance, Banking",Jakarta,0,0,5000000,7000000
Consultant,Jakarta,0,0,4000000,5000000
Consultant,Jawa,0,1,200000,1000000
"Accounting, Finance, Banking",Jawa,0,0,200000,1000000
Sales,Jawa,0,0,5000000,6000000
Research & Development,Other,0,0,44532000,55665000
Survey Respondent,Sumatera,0,0,200000,1000000
Consultant,Bali dan Nusa Tenggara,0,0,2500000,4500000
