Job_Title,Company,Dept,City,Salary,Yrs_of_Exp
Promotor Laptop & Handphone,PT Antaboga Manunggal Karsa,Manufaktur dan Produksi,Factory LAMONGAN - Lamongan,IDR 1.900.000 - 2.900.000,Setidaknya 1 tahun
TEKNISI ELEKTRIK - LAMONGAN,PT Mitra Adi Persada,"Teknik, Elektro ",Head Office Surabaya - Surabaya,IDR 2.000.000 - 2.500.000,0 tahun
Teknisi AC & Elektro,Sumber Daya Menamas Prime Resources,Teknisi,Pekanbaru - Pekanbaru,IDR 2.500.000 - 3.000.000,2 tahun
Teknisi Service Pekanbaru,PT Danamas Insan Kreasi Andalan (DIKA),Penjualan dan Pemasaran,Jalan Ngagel Jaya Selatan - Surabaya,IDR 2.900.000 - 3.000.000,Setidaknya 1 tahun
Sales Akuisisi Aplikasi Sparepart,PT Artha Demo Engineering Consultant,Arsitek,head office - Bandung,IDR 2.000.000 - 4.000.000,Setidaknya 1 tahun
Staff Ahli Arsitek/ Urban Design,PT Handal Guna Sarana,Operasi Gudang,head office - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
Staff Gudang - Restaurant,PT SENFIENTA PRIMA TAMA,Pengembangan Bisnis,head office - Jakarta Pusat,Gaji Kompetitif,0 tahun
Business Development Supervisor,PT. Bimasakti Multi Sinergi,Penjualan dan Pemasaran,head office - Sidoarjo,Gaji Kompetitif,3 tahun
Marketing Local Partner ,PT Anugerah Graha Bersama,Administrasi,head office - Jakarta Pusat,IDR 4.300.000 - 6.000.000,Setidaknya 1 tahun
SEKRETARIS,PT Cahaya Tiga Bintang Abadi,Fresh Graduate,Jalan Musi - Prov. DKI-Jakarta,IDR 4.500.000 - 6.000.000,Setidaknya 1 tahun
Product Specialist,PT ADOP Indo Lestari,Pemasaran (Non-Teknis),head office - Jakarta Selatan,IDR 4.500.000 - 5.000.000,Setidaknya 1 tahun
Marketing Executive,PT Lawencon,"Teknik, Perangkat Lunak",head office - Jakarta Selatan,Gaji Kompetitif,Setidaknya 1 tahun
PEGA DEVELOPER,Sekolah Tara Salvia,Guru / Tutor,head office - Tangerang,Gaji Kompetitif,2 tahun
Guru Agama Hindu,Power Vision,"Akuntansi, Keuangan",Power Vision - Jakarta Barat,Gaji Kompetitif,Setidaknya 1 tahun
Marketing Associate,PT Lawencon,"Teknik, Komputer",head office - Jakarta Selatan,IDR 7.500.000 - 10.000.000,3 tahun
ANDROID DEVELOPER,PT Sejahtera Mitra Solusi,Penjualan dan Pemasaran,Solo - Solo,Gaji Kompetitif,2 tahun
"Sales Officer Jateng - Solo, Wonogiri",Confidential Company,Manufaktur dan Produksi,head office - Bekasi,Gaji Kompetitif,Setidaknya 1 tahun
Operator CNC,PT Anugerah Graha Bersama,Telemarketing,head office - Jakarta Pusat,Gaji Kompetitif,Setidaknya 1 tahun
TELEMARKETING,PT Elabram Systems,Penjualan dan Pemasaran,Karawang - Karawang,IDR 3.200.000 - 6.500.000,Setidaknya 1 tahun
"Area Coordinator (Cirebon, Karawang, Tasikmalaya)",Bali Hai Brewing Co,Pemasaran (Teknis),Surabaya - Surabaya,IDR 2.300.000 - 4.700.000,Setidaknya 1 tahun
