Job_Title,Company,Dept,City,Salary,Yrs_of_Exp
PURCHASING PROYEK,PT Dutagaruda Piranti Prima,Sekretaris,head office - Jakarta,Gaji Kompetitif,2 tahun
Quality Control Analyst - Jakarta,Top Cars Gallery ,Sumber Daya Manusia,PT. DUTAGARUDA PIRANTI PRIMA - Jakarta Pusat,IDR 4.500.000 - 5.000.000,Setidaknya 1 tahun
Finance Staff,A Big Group of Companies,Penjualan dan Pemasaran,head office - Jakarta Selatan,Gaji Kompetitif,Setidaknya 1 tahun
Admin Finance,PT BSR Indonesia,Telemarketing,Head office - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
Receptionist,PT Fumakilla Indonesia,"Akuntansi, Keuangan",head office - Jakarta Pusat,Gaji Kompetitif,0 tahun
INSURANCE SPECIALIST (SURABAYA),PT Daya5 Rekrutmen,Pemrosesan Data,PT. Fumakilla Indonesia (HO) - Jakarta Selatan,IDR 4.000.000 - 4.200.000,2 tahun
SEKRETARIS,PT Imecon Teknindo,Arsitek,Jabodetabek - Prov. DKI-Jakarta,Gaji Kompetitif,2 tahun
Training & Development Staff / Supervisor,PT Personel Alih Daya ( PERSADA ),Penjualan dan Pemasaran,Head Office - Jakarta Selatan,Gaji Kompetitif,0 tahun
Key Account Executive - Industrial Food & Beverages wilayah Jawa Tengah (Yogya),PT Elabram Systems,"Teknik, Telekomunikasi",head office - Jakarta Selatan,IDR 5.000.000 - 10.000.000,3 tahun
UPSELLING KEDOYA JAKARTA BARAT,PT. Timurraya Karunia Multi,Manufaktur dan Produksi,Prov. DKI-Jakarta - Prov. DKI-Jakarta,IDR 5.000.000 - 5.300.000,2 tahun
Assistant Manager Tax & Accounting,PT Dana Pinjaman Inklusif,"TI, Administrator",Factory - Cikarang,IDR 5.700.000 - 7.600.000,2 tahun
Transport & COD Ops Analyst,PT Domba Mas Indonesia,Layanan Pelanggan,head office - Jakarta Barat,Gaji Kompetitif,0 tahun
Architecture Designer,PT Binajasa Sumber Sarana,Telemarketing,head office - Jakarta Barat,Gaji Kompetitif,Setidaknya 1 tahun
Team Leader Telemarketing,PT Wahana Adireksa Pratama,"Teknik, Elektro ",head office - Jakarta Selatan,Gaji Kompetitif,4 tahun
Site Supervisor,PT Sedap Rasa Segala,Operasi Restoran,head office - Jakarta Barat,Gaji Kompetitif,Setidaknya 1 tahun
Asisten Manager Produksi,PT Swapro International,"Akuntansi, Keuangan",head office - Jakarta Pusat,IDR 4.700.000 - 6.000.000,0 tahun
IT Support ,A Big Group of Companies,Supir,All Jabodetabek - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
Telemarketing,PT Mustika Land Development ,"Akuntansi, Keuangan",Semarang - Semarang,IDR 4.000.000 - 4.600.000,Setidaknya 1 tahun
Telemarketing,Cahaya Research Indonesia PT,"Akuntansi, Keuangan",head office - Jakarta Pusat,Gaji Kompetitif,0 tahun
TEKNISI ,PT Grita Artha Kreamindo,Layanan Pelanggan,head office - Jakarta Pusat,IDR 5.000.000 - 7.000.000,0 tahun
Waiter dan Waitress,PT Swapro International,Kolektor,PT. Grita Artha Kreamindo - Prov. DKI-Jakarta,Gaji Kompetitif,2 tahun
Admin Tax - Jakarta Utara,Eyes Talk,Desainer Grafis Komputer,All Jabodetabek - Prov. DKI-Jakarta,Gaji Kompetitif,4 tahun
Driver (B1) & Kernet – Semarang,PT. Tiga Berlian Asiana,"Akuntansi, Keuangan",Head Office - Jakarta Pusat,IDR 4.000.000 - 4.500.000,3 tahun
Senior Accounting Staff,PT Global Sarana Sukses,Periklanan / Promosi,head office - Jakarta Selatan,Gaji Kompetitif,0 tahun
Accounting Manager,Maxon Prime Technology,Sumber Daya Manusia,head office - Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
Frontliner Surabaya ,"EMTEK (PT Elang Mahkota Teknologi, Tbk)",Tidak disebutkan,head office - Tangerang,IDR 4.000.000 - 5.500.000,0 tahun
Desk Collection,PT Lautan Baja Indonesia,"Akuntansi, Keuangan","SCTV Tower, Senayan, Jakarta Pusat - Prov. DKI-Jakarta",IDR 4.000.000 - 6.000.000,Setidaknya 1 tahun
Junior Graphic Designer,PT Bahtera Pesat Lintasbuana,Penjualan dan Pemasaran,head office - Tangerang,Gaji Kompetitif,Setidaknya 1 tahun
Staff Keuangan,PT Swapro International,Sumber Daya Manusia,Padang - Padang,Gaji Kompetitif,2 tahun
Digital Marketing,PT BSR Indonesia,"Penyiar, TV / Radio",All Jabodetabek - Prov. DKI-Jakarta,IDR 2.400.000 - 4.000.000,0 tahun
HRD,PT FTF Globalindo,"TI, Programmer",Jakarta Pusat - Prov. DKI-Jakarta,IDR 3.000.000 - 4.000.000,2 tahun
Professional Hire Talent Pool,PT Megah Nurindo Pratama,"TI, Administrator",head office - Bekasi,Gaji Kompetitif,Setidaknya 1 tahun
Assistant Manager Finance/Accounting,PT Sukses Jaya Copierindo,"Teknik, Elektro ",head office - Jakarta Utara,Gaji Kompetitif,Setidaknya 1 tahun
Sales dan Marketing Area Padang,PT Personel Alih Daya ( PERSADA ),Komunikasi,head office - Jakarta Selatan,Gaji Kompetitif,Setidaknya 1 tahun
Recruiter,Wiltop Group,Hukum / Korporasi,head office - Jakarta Selatan,Gaji Kompetitif,Setidaknya 1 tahun
Camera Person,PT Smart Multi Finance,Audit Intern / Pengawasan,head office - Jakarta Utara,IDR 30.000.000 - 35.000.000,3 tahun
STAFF IT SUPPORT,PT Sayaka Adhyatma Persada,Pemasaran (Non-Teknis),Head Office - Tangerang,Gaji Kompetitif,2 tahun
IT Senior,PT Sinergi Performa Cipta,Sumber Daya Manusia,head office - Surabaya,IDR 4.000.000 - 4.300.000,10 tahun
TEKNISI / IT ,PT Delta Mandiri Indonesia,Administrasi,head office - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
"Department Head, Legal and Relation",PT Swapro International,Sumber Daya Manusia,Surabaya - Surabaya,Gaji Kompetitif,0 tahun
Staff Legal,PT BSR Indonesia,Makanan dan Minuman,All Jabodetabek - Prov. DKI-Jakarta,IDR 3.500.000 - 4.000.000,Setidaknya 1 tahun
Field Auditor (BSD),PT Oscar Mas,Administrasi,Jakarta Selatan - Prov. DKI-Jakarta,Gaji Kompetitif,0 tahun
Staff Marketing,PT Elabram Systems,Sumber Daya Manusia,PT. OSCAR MAS - Bekasi,IDR 3.000.000 - 4.000.000,Setidaknya 1 tahun
Talent Aqcusition Intern,Maxon Prime Technology,"Teknik, Keselamatan",head office - Jakarta Pusat,IDR 5.000.000 - 6.000.000,Setidaknya 1 tahun
ADMIN SALES,PT Jotti Dakkar,Manajer Portofolio,head office - Tangerang,IDR 20.000.000 - 25.000.000,Setidaknya 1 tahun
PERSONNEL STAFF (HR OPERATIONS),PT Asiadaya Abadi,"Akuntansi, Keuangan",head office - Jakarta Timur,IDR 4.000.000 - 6.000.000,2 tahun
Barista & Cook,PT Danamas Insan Kreasi Andalan (DIKA),Sumber Daya Manusia,head office - Kudus,Gaji Kompetitif,8 tahun
Receptionist,PT Rajawali Anugrah Resources,Pemasaran Internet,Jalan Ngagel Jaya Selatan - Surabaya,Gaji Kompetitif,2 tahun
HR Manager,Heka Properti Group,Administrasi,Bogor - Bogor,IDR 4.000.000 - 15.000.000,3 tahun
AHLI K3 PROYEK,PT Puriasri Bhaktikarya,Kreatif / Desain,head office - Bekasi,IDR 3.500.000 - 5.500.000,2 tahun
SITE MANAGER,PT Ophthalindo Jaya,"Akuntansi, Keuangan",head office - Prov. DKI-Jakarta,IDR 4.000.000 - 7.000.000,Setidaknya 1 tahun
Finance Accounting Manager,PT Mobile Sarana Sentosa,"TI, Systems Analyst",head office - Jakarta Pusat,IDR 10.000.000 - 20.000.000,0 tahun
HR Recruitment,PT Laplasindo Pratama,Administrasi,head office - Jakarta Barat,Gaji Kompetitif,5 tahun
Bogor Telkom Sales / Leader Sales Indihome ,PT Kaliabang Jaya Pratama,"Teknik, Sipil",head office - Prov. DKI-Jakarta,Gaji Kompetitif,2 tahun
Ajudan Asisten Pribadi,PT Bioplast Unggul,Sumber Daya Manusia,head office - Bekasi,Gaji Kompetitif,2 tahun
UI UX Designer,PT Personel Alih Daya ( PERSADA ),Penjualan (Non-Teknis),Head Office - Tangerang,IDR 5.500.000 - 12.000.000,2 tahun
STAFF & SUPERVISOR ACCOUNTING & FINANCE,PT Mitracomm Ekasarana Business Process Service,Komunikasi,head office - Jakarta Selatan,Gaji Kompetitif,0 tahun
Senior Business Analyst,MRT Group,Penjualan dan Pemasaran,"Gd The East Lt 16, Jl Lingkar Mega kuningan Jakarta selatan (Kawasan Mega kuningan berada di seberang ITC Kuningan/Mall Ambassador - Prov. DKI-Jakarta",IDR 4.200.000 - 4.500.000,3 tahun
admin/secretary,Confidential Company,Administrasi,Head Office - Jakarta Barat,Gaji Kompetitif,3 tahun
Site Manager/ Project Manager,PT Personel Alih Daya ( PERSADA ),"Teknik, Mesin",head office - Jakarta,IDR 10.000.000 - 50.000.000,Setidaknya 1 tahun
HR Recruitment Staff,PT Indosakti Pancadipo Paragraha,Administrasi,head office - Jakarta Selatan,IDR 4.000.000 - 5.000.000,6 tahun
SPB/SPG,PT Tabitha Express,Administrasi Export,Jakarta - Prov. DKI-Jakarta,IDR 5.000.000 - 6.000.000,3 tahun
CUSTOMER SERVICE BEKASI,PT Era Mulya Citra Warna,Administrasi," Jakarta ,head office - Jakarta Utara",IDR 3.500.000 - 5.000.000,0 tahun
SENIOR ASSOCIATE MARKETING,Maxon Prime Technology,Penjualan dan Pemasaran,PURWOKERTO - Purwokerto,IDR 4.700.000 - 5.500.000,0 tahun
Admin Gudang,PT Klik Bangunan,Procurement,Surabaya - Surabaya,IDR 1.000.000 - 3.500.000,2 tahun
FO ENGINEERING ,PERSOLKELLY Recruitment Indonesia,Layanan Pelanggan,head office - Bogor,IDR 3.000.000 - 4.500.000,2 tahun
Officer,Wiltop Group,"Akuntansi, Keuangan",Jakarta Pusat - Jakarta Pusat,Gaji Kompetitif,Setidaknya 1 tahun
CUSTOMER SERVICE PROJECT CARGO ,PT Victory Retailindo,Administrasi,head office - Jakarta Utara,Gaji Kompetitif,2 tahun
ADMIN PENJUALAN KEBUMEN,PT Intrias Mandiri Sejati (IMS),Administrasi,Papaya Fresh Gallery Blok M - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
SALES ENGINEER SURABAYA,Confidential Company,Procurement,head office - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
Purchasing/Issuing,PT Era Mulya Citra Warna,Pengembangan Bisnis,head office - Jakarta Utara,IDR 4.600.000 - 4.700.000,2 tahun
Customer Service,PT Asuransi Jiwa Astra,Penjualan dan Pemasaran,Head Office - Bogor,IDR 6.000.000 - 8.000.000,0 tahun
Staff Accounting / Staff Finance,PT Personel Alih Daya ( PERSADA ),Sumber Daya Manusia,Medan - Medan,IDR 3.000.000 - 5.000.000,0 tahun
Staff Kasir,PT Micro Madani Institute,Administrasi,head office - Jakarta Selatan,Gaji Kompetitif,2 tahun
CHANNEL SALES ADMIN,PT KMI Wire and Cable Tbk,Audit Intern / Pengawasan,Prov. Jawa Tengah - Prov. Jawa Tengah,IDR 5.500.000 - 7.000.000,Setidaknya 1 tahun
Sourcing & Procurement Specialist,PT Nadira Permata Mandiri,Administrasi Export,head office - Jakarta Timur,Gaji Kompetitif,Setidaknya 1 tahun
TASKFORCE,PT Era Mulya Citra Warna,Administrasi,head office - Jakarta Utara,Gaji Kompetitif,Setidaknya 1 tahun
Professional Financial Consultant Area Medan,PT BPR Lestari Banten,Administrasi,Head Office - Bogor,Gaji Kompetitif,0 tahun
HRGA,PT Pradha Karya Perkasa,"Teknik, Lainnya",Head Office - Tangerang,IDR 3.000.000 - 3.500.000,5 tahun
Finance Administration Officer (FAO),PT Intrias Mandiri Sejati (IMS),Administrasi,head office - Mojokerto,Gaji Kompetitif,Setidaknya 1 tahun
INTERNAL AUDIT JR MANAGER,PT Binajasa Sumber Sarana,Satuan Pengamanan,head office - Prov. DKI-Jakarta,IDR 5.000.000 - 5.500.000,Setidaknya 1 tahun
Documentation Staff,PT Angkasa Bumi Mas,"Teknik, Sipil",head office - Jakarta Selatan,IDR 4.600.000 - 4.700.000,0 tahun
ADMIN UMUM,PT Wahana Adireksa Pratama,Administrasi,head office - Bogor,Gaji Kompetitif,5 tahun
Admin Kredit,"Kangqian International Trade Co., Ltd",Procurement,Jakarta - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
Supervisor Warehouse Sparepart,Atlantic Biruraya,Telemarketing,Jakarta - Prov. DKI-Jakarta,IDR 4.700.000 - 5.000.000,0 tahun
FINANCIAL OPERATION ADMIN,PT Swapro International,Penjualan dan Pemasaran,head office - Surabaya,IDR 24.000.000 - 25.000.000,2 tahun
SECURITY,PT Asiadaya Abadi,Manajemen Operasional,All Jabodetabek - Prov. DKI-Jakarta,Gaji Kompetitif,0 tahun
ESTIMATOR / QS,PT Victory Retailindo,Operasi Ritel,Bandung - ,IDR 4.000.000 - 4.600.000,10 tahun
Sales Support ,PT Megah Nurindo Pratama,Manufaktur dan Produksi,Papaya Fresh Gallery Blok M - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
General Manager,PT Archipelago Queen,Juru Masak,head office - Jakarta Utara,Gaji Kompetitif,0 tahun
Telemarketing,PT Bahtera Pesat Lintasbuana,"Teknik, Jaringan",Jakarta - Prov. DKI-Jakarta,IDR 5.000.000 - 6.000.000,2 tahun
Telemarketing,PT Rekso Nasional Food (McDonald's Indonesia),Operasi Restoran,head office - Jakarta Selatan,Gaji Kompetitif,0 tahun
Kepala Cabang ,PT Era Mulya Citra Warna,Pengembangan Bisnis,Yogyakarta - Yogyakarta,IDR 8.000.000 - 9.000.000,3 tahun
STORE CREW,PT Asiadaya Abadi,Sumber Daya Manusia,Head Office - Bogor,Gaji Kompetitif,7 tahun
Leader Produksi,PT Bakti Samudra Sakti,Arsitek,Yogyakarta - Prov. DI-Yogyakarta,IDR 2.500.000 - 5.000.000,2 tahun
Assisten Chef Kitchen,PT Elabram Systems,"Teknik, Telekomunikasi",head office - Surabaya,Gaji Kompetitif,0 tahun
Engineer On Site,PT Nadira Permata Mandiri,"Akuntansi, Keuangan",Prov. DKI-Jakarta - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
Trainee Manager - Based Yogyakarta,Confidential Company,Pemasaran (Non-Teknis),head office - Jakarta Utara,IDR 6.500.000 - 15.000.000,2 tahun
FIELD  COLLECTOR,PT Mitra Insan Sejahtera,Apoteker / Farmasi,head office - Jakarta Pusat,Gaji Kompetitif,3 tahun
HR Admin Officer,PT JYD Innovation Jaya,Supir,head office - Jakarta Pusat,IDR 4.000.000 - 5.000.000,2 tahun
Staff Architect,PT Rajawali Anugrah Resources,Pemasaran Internet,head office - Tangerang,Gaji Kompetitif,2 tahun
Quality Control Inspector,PT Grita Artha Kreamindo,Operasi Ritel,Bogor - Bogor,Gaji Kompetitif,Setidaknya 1 tahun
Finance Manager,"PT Enseval Putera Megatrading, Tbk",Logistik,SURABAYA - Surabaya,IDR 3.500.000 - 5.500.000,0 tahun
TELEMARKETING TV CABLE KEDOYA JAKARTA BARAT ,PT Wet Wipes Indonesia,Sumber Daya Manusia,head office - Jakarta Timur,Gaji Kompetitif,Setidaknya 1 tahun
Staff Farmasi,PT Bahtera Pesat Lintasbuana,Penjualan dan Pemasaran,head office - Jakarta Selatan,Gaji Kompetitif,0 tahun
Driver,PT Hashimawira Bersaudara,Arsitek," cililitan, Jakarta timur - Jakarta Timur",IDR 4.500.000 - 6.000.000,Setidaknya 1 tahun
Bogor Cibinong  Telkom Sales/ Spv Wi Fi Indihome,PT Mitra Insan Sejahtera,Manajemen Operasional,head office - Jakarta Timur,IDR 4.600.000 - 5.500.000,0 tahun
Penanggung Jawab Outlet (SPV) Surabaya,PT Wahana Adireksa Pratama,Pembelian / Purchasing,Bogor - Bogor,IDR 5.000.000 - 7.000.000,Setidaknya 1 tahun
Logistic Coordinator Development Program,PT Pradha Karya Perkasa,Manufaktur dan Produksi,head office - Jakarta Barat,Gaji Kompetitif,Setidaknya 1 tahun
Recruiter,PT Marga Sadhya Swasti ( WTC Mangga Dua ),Layanan Pelanggan,head office - Mojokerto,IDR 5.000.000 - 6.000.000,3 tahun
SPV agen  area jakarta timur,PT BSR Indonesia,Ahli Ekonomi,head office - Jakarta,Gaji Kompetitif,0 tahun
ARSITEK,PT Angkasa Bumi Mas,"Akuntansi, Keuangan",head office - Jakarta Pusat,Gaji Kompetitif,2 tahun
Store Supervisor,PT Glorious Interbuana,Administrasi,head office - Bogor,Gaji Kompetitif,2 tahun
Purchasing ,Ew Priority,Administrasi,head office - Jakarta Utara,Gaji Kompetitif,Setidaknya 1 tahun
Kepala Regu Gudang ,PT Neo Fusion Indonesia,Pengembangan Bisnis,Head Office - Surabaya,IDR 4.000.000 - 5.600.000,5 tahun
Receptionist,PT Catur Adhi Manunggal,Manajemen Operasional,head office - Jakarta Selatan,Gaji Kompetitif,Setidaknya 1 tahun
Assistant Manager of Share Registrar & Phone Verification,Maxon Prime Technology,Arsitek,head office - Semarang,Gaji Kompetitif,2 tahun
ADMINISTRASI KEUANGAN,PT Graha Mutu Persada,Sumber Daya Manusia,head office - Tangerang,Gaji Kompetitif,0 tahun
Staff Export Impor,Pawoon,Pemasaran (Non-Teknis),head office - Mojokerto,IDR 5.000.000 - 8.000.000,3 tahun
Administrasi Perkantoran (Publik),Confidential Company,"Akuntansi, Keuangan",head office - Jakarta Selatan,Gaji Kompetitif,3 tahun
BUSINESS ANALYST,PT Sinergi Performa Cipta,Sumber Daya Manusia,head office - Bekasi,Gaji Kompetitif,2 tahun
Branch Manager,PT Mitra Kreasi Nusantara Sejahtera,Supir,head office - Prov. DKI-Jakarta,Gaji Kompetitif,2 tahun
DRAFTER,PT BSR Indonesia,Kreatif / Desain,head office - Jakarta Selatan,Gaji Kompetitif,4 tahun
HRD STAFF,Appinzpire,"TI, Administrator",head office - Jakarta Pusat,IDR 4.500.000 - 5.500.000,2 tahun
Head of Marketing,PT Bakrieland Development Tbk,Operasi Restoran,Head Office - Jakarta Barat,Gaji Kompetitif,Setidaknya 1 tahun
Accounting & Tax,PT Mc Millan Woods Advisory,"Akuntansi, Keuangan",head office - Jakarta Selatan,Gaji Kompetitif,0 tahun
Recruitment,PT Rajawali Tangguh Laksana,Administrasi,head office - Jakarta Selatan,Gaji Kompetitif,0 tahun
DRIVER,PT Usaha Gunabhakti Mandiri,Sumber Daya Manusia,head office - Jakarta Timur,Gaji Kompetitif,Setidaknya 1 tahun
Drafter Desain,PT Dutagaruda Piranti Prima,Logistik,"Wisma Staco, Jl. Casablanca, RT.4/RW.12, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12960, Indonesia - Jakarta Selatan",Gaji Kompetitif,3 tahun
Admin Project,PT Victory Retailindo,Administrasi,PT. DUTAGARUDA PIRANTI PRIMA - Jakarta Pusat,Gaji Kompetitif,3 tahun
Marketing F&B (MFB),ASABA GROUP,Administrasi,head office - Bekasi,IDR 4.000.000 - 4.500.000,Setidaknya 1 tahun
Senior Finance Analyst,PT Imecon Teknindo,Layanan Pelanggan,head office - Jakarta Pusat,Gaji Kompetitif,Setidaknya 1 tahun
Administrasi Proyek,PT Mitra Insan Sejahtera,Penjualan dan Pemasaran,DKI Jakarta - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
SPV HCGA,Wiltop Group,"Akuntansi, Keuangan",Jakarta - Prov. DKI-Jakarta,IDR 4.000.000 - 4.650.000,Setidaknya 1 tahun
STORE KEEPER,Madame Rabbit,Administrasi,head office - Jakarta Utara,Gaji Kompetitif,Setidaknya 1 tahun
Staff Purchasing,PT Recruit First Indonesia,Administrasi,head office - Jakarta Utara,Gaji Kompetitif,Setidaknya 1 tahun
Admin Collection,PT Swapro International,"Akuntansi, Keuangan",head office - Prov. DKI-Jakarta,Gaji Kompetitif,0 tahun
Seller Tutor ,PT BSR Indonesia,Administrasi,All Jabodetabek - Prov. DKI-Jakarta,IDR 4.250.000 - 5.250.000,3 tahun
SALES PROMOTION GIRL,A Big Group of Companies,Manajemen Operasional,Kalimantan Selatan  - Prov. Kalimantan Tengah,IDR 4.600.000 - 5.300.000,Setidaknya 1 tahun
Senior Accounting,PT Kualitas Teknik Indonesia,Pemasaran (Teknis),Medan - Medan,Gaji Kompetitif,2 tahun
Quality Assurance,PT Mitra Insan Sejahtera,Penjualan dan Pemasaran,head office - Jakarta Barat,IDR 3.500.000 - 4.500.000,0 tahun
ADMIN ONLINE SHOP,PT Tabitha Express,Pengembangan Bisnis,Bogor - Bogor,Gaji Kompetitif,Setidaknya 1 tahun
Admin Marketing,PT Personel Alih Daya ( PERSADA ),Akuntan Perpajakan," Jakarta ,head office - Jakarta Utara",Gaji Kompetitif,Setidaknya 1 tahun
Admin Finance ,PT Indo Makmur Abadi,Supir,head office - Jakarta Selatan,IDR 3.000.000 - 5.000.000,5 tahun
Admin,PT Personel Alih Daya ( PERSADA ),"Teknik, Jaringan",head office - Semarang,IDR 5.000.000 - 6.000.000,3 tahun
RFAM MEDAN,PT Mitra Kreasi Nusantara Sejahtera,Fresh Graduate,head office - Jakarta Selatan,Gaji Kompetitif,5 tahun
MARKETING,PT Mitra Insan Sejahtera,Penjualan dan Pemasaran,head office - Jakarta Selatan,IDR 5.000.000 - 6.000.000,2 tahun
KEY ACCOUNT SALES MANAGER,PT Personel Alih Daya ( PERSADA ),"Teknik, Elektro ",Bogor - Bogor,IDR 4.500.000 - 5.500.000,Setidaknya 1 tahun
BUSINESS & DEVELOPMENT STAFF,Confidential Company,Layanan Pelanggan,head office - Jakarta Selatan,Gaji Kompetitif,2 tahun
Tax Staff,PT Mitra Kreasi Nusantara Sejahtera,Logistik,Jakarta Barat - Prov. DKI-Jakarta,IDR 5.000.000 - 10.000.000,2 tahun
Driver ,PT Mitracomm Ekasarana Business Process Service,Administrasi,head office - Jakarta Selatan,IDR 4.200.000 - 4.500.000,0 tahun
STAFF IP NOC,Yayasan Yasporbi,Sumber Daya Manusia,"Gd The East Lt 16, Jl Lingkar Mega kuningan Jakarta selatan (Kawasan Mega kuningan berada di seberang ITC Kuningan/Mall Ambassador - Prov. DKI-Jakarta",IDR 4.400.000 - 5.600.000,0 tahun
Resepsionis kantor,PT Swapro International,Komunikasi,head office - Jakarta,Gaji Kompetitif,5 tahun
KEY ACCOUNT MANAGER,Ew Priority,Administrasi,All Jabodetabek - Prov. DKI-Jakarta,IDR 10.000.000 - 10.500.000,0 tahun
CME SUPERVISOR ,PT Bakrieland Development Tbk,Pengembangan Bisnis,Head Office - Surabaya,Gaji Kompetitif,0 tahun
CUSTOMER CARE INBOUND MNC VISION KEDOYA ,Mesin Kasir Online,Pengembangan Bisnis,head office - Jakarta Selatan,IDR 4.600.000 - 5.600.000,6 tahun
Staff Gudang,PT Ekadharma International,Resepsionis,head office - Surabaya,Gaji Kompetitif,5 tahun
WORK FORCE MANAJEMEN PERBANKAN,PT Elabram Systems,Komunikasi,head office - Jakarta Utara,IDR 6.000.000 - 7.500.000,Setidaknya 1 tahun
Manajer HRD,PT BSR Indonesia,Penjualan dan Pemasaran,head office - Jakarta Pusat,Gaji Kompetitif,Setidaknya 1 tahun
Call center,Heka Properti Group,"Akuntansi, Keuangan",Medan - Medan,IDR 4.600.000 - 5.000.000,5 tahun
STAFF HUMAS,PT IT Service Centre,Layanan Pelanggan,head office - Bekasi,IDR 3.300.000 - 4.500.000,2 tahun
Corporate Business Development Manager (CBDM) ,"PT Enseval Putera Megatrading, Tbk",Manufaktur dan Produksi,Surabaya - Surabaya,Gaji Kompetitif,Setidaknya 1 tahun
Sales Koordinator,PT Swapro International,Kolektor,head office - Jakarta Timur,IDR 4.375.479 - 4.400.000,Setidaknya 1 tahun
Receptionist - PIK,PT Smart Identification Solutions,Periklanan / Promosi,All Jabodetabek - Prov. DKI-Jakarta,Gaji Kompetitif,0 tahun
Customer Care,PT Angkasa Bumi Mas,Administrasi,head office - Jakarta Utara,Gaji Kompetitif,3 tahun
Telesales Medan,PT BSR Indonesia,Administrasi,head office - Bogor,Gaji Kompetitif,0 tahun
Staff Akuntansi dan  Administrasi,PT Mitracomm Ekasarana Business Process Service,Layanan Pelanggan,head office - Jakarta Pusat,Gaji Kompetitif,0 tahun
Customer Service Surabaya,PT Raharja Sinergi Komunikasi,"Teknik, Jaringan","Gd The East Lt 16, Jl Lingkar Mega kuningan Jakarta selatan (Kawasan Mega kuningan berada di seberang ITC Kuningan/Mall Ambassador - Prov. DKI-Jakarta",Gaji Kompetitif,0 tahun
Pharmacist,PT Mustika Land Development ,"Teknik, Sipil",head office - Bandung,Gaji Kompetitif,Setidaknya 1 tahun
Collection Staff,PT Garuda Daya Pratama Sejahtera,Audit Intern / Pengawasan,head office - Jakarta Pusat,Gaji Kompetitif,0 tahun
IT Marketing / Digital Marketing,Sekolah Tara Salvia,Guru / Tutor,head office - Tangerang,IDR 8.000.000 - 10.000.000,5 tahun
ADMIN. ONLINE SHOP (PRODUK MAKANAN),A Big Group of Companies,Supir,head office - Tangerang,Gaji Kompetitif,0 tahun
Assistant Manager of Adm. Efek & Phone Verification,PT Neo Fusion Indonesia,"TI, Programmer",Medan - Medan,Gaji Kompetitif,3 tahun
LIVE CHAT / CUSTOMER EMAIL,PT Bakrieland Development Tbk,Pengembangan Bisnis,head office - Jakarta Selatan,Gaji Kompetitif,5 tahun
STAFF NETWORK ENGINEER,PT Qerja Manfaat Bangsa (QMB),Administrasi,head office - Jakarta Selatan,Gaji Kompetitif,Setidaknya 1 tahun
Site Manager,PT Wet Wipes Indonesia,Administrasi,Prov. DKI-Jakarta - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
Quality Assurance & Risk Management,PT Samudra Maju Perkasa,Administrasi,head office - Jakarta Selatan,Gaji Kompetitif,2 tahun
Asisten Guru,Solusi Kemasan UMKM PT,Pemasaran (Non-Teknis),PT Samudra Maju Perkasa HO - Jakarta Barat,IDR 4.500.000 - 6.000.000,4 tahun
Driver (B1) & Kernet – Medan,PT Karla Boga Sejahtera,Administrasi,head office - Jakarta Barat,IDR 8.000.000 - 10.000.000,8 tahun
PROJECT MANAGER,PT Klik Bangunan,Manajemen Operasional,head office - Tangerang,Gaji Kompetitif,0 tahun
Corporate Business Development Division Head (CBDD),PT Era Mulya Citra Warna,Pemasaran (Non-Teknis),head office - Bogor,Gaji Kompetitif,2 tahun
Admin Sales Support,Maxon Prime Technology,Supir,Head Office - Bogor,IDR 6.000.000 - 8.000.000,3 tahun
Admins & Account Executive,A Big Group of Companies,Administrasi Import,head office - Tangerang,IDR 3.000.000 - 4.000.000,Setidaknya 1 tahun
Payroll Supervisor,PT Mitra Kreasi Nusantara Sejahtera,Logistik,Head office - Prov. DKI-Jakarta,IDR 3.000.000 - 4.000.000,2 tahun
Admin Online Shop,PT Techno Prefab Indonesia,"Teknik, Keselamatan",head office - Jakarta Selatan,IDR 4.250.000 - 5.000.000,3 tahun
Customer Service,The Tempo Group,Supir,Jalan Jababeka Raya - Bekasi,IDR 4.500.000 - 5.500.000,Setidaknya 1 tahun
Area Manager,"PT Enseval Putera Megatrading, Tbk",Manufaktur dan Produksi,PT TEMPO SEMARANG - Semarang,Gaji Kompetitif,2 tahun
SALES EKSEKUTIF BOGOR & TANGERANG,PT Intrias Mandiri Sejati (IMS),Administrasi,head office - Jakarta Timur,IDR 2.500.000 - 2.850.000,2 tahun
