Job_Title,City,Yrs_of_Exp,Salary
Full Stack Developer,Bandung, 1 – 3 tahun, IDR 5.000.000 - 10.000.000
Graphic Designer,Bandung, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
QA Engineer,Tangerang, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Front End Developer,"SCBD, Jakarta", 3 – 5 tahun, IDR 8.000.000 - 10.000.000
Account Executive,Jakarta, Kurang dari setahun, IDR 1.500.000 - 1.500.000
youtuber crew wanita,"Penjaringan, Jakarta", 3 – 5 tahun, IDR 9.200.000 - 11.200.000
UI/UX Designer,"Tanah Abang, Jakarta", 1 – 3 tahun, IDR 7.000.000 - 8.000.000
Account Executive (KOL) Specialist Gaming,Bandar Lampung, 1 – 3 tahun, IDR 4.700.000 - 10.000.000
Sales Marketing IT,Jakarta, 3 – 5 tahun, IDR 8.000.000 - 12.000.000
Recuitment Staff,"Kebayoran Baru, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 9.000.000
Multimedia Team,Jakarta, 1 – 3 tahun, IDR 4.500.000 - 6.000.000
Intern Social Media E-commerce (WFH),Jakarta, 1 – 3 tahun, IDR 5.000.000 - 10.000.000
Marketing for WHY MOMENTS,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 10.000.000
Backend Engineer,Bandung, 1 – 3 tahun, IDR 5.000.000 - 10.000.000
Photo Editor & Photographer (Digital Imaging),Jakarta, 3 – 5 tahun, IDR 6.000.000 - 10.000.000
Video Editor & Videographer,"Senen, Jakarta", 1 – 3 tahun, IDR 5.500.000 - 8.500.000
OPERATIONAL STAFF (MANDARIN SPEAKER),"Senen, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Social Media Manager,Tangerang, 1 – 3 tahun, IDR 6.000.000 - 9.000.000
Marketing Strategic,Yogyakarta, 1 – 3 tahun, IDR 7.000.000 - 8.000.000
Back End Developer,"Tambora, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 9.000.000
Call Center Executive,Karawang, 1 – 3 tahun, IDR 5.000.000 - 10.000.000
SPV General Affair,Surabaya, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Sales & Marketing Officer,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Key Account Marketing,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 10.000.000
Content Creator / Content Strategist,Yogyakarta, 3 – 5 tahun, IDR 8.000.000 - 10.000.000
Sales Representative,Jakarta, 3 – 5 tahun, IDR 7.000.000 - 13.500.000
Logistic & Fulfillment Executive,"Kelapa Gading, Jakarta", 1 – 3 tahun, IDR 7.000.000 - 8.000.000
Support Engineer ,Surabaya, 3 – 5 tahun, IDR 6.000.000 - 8.000.000
Motion Graphic Designer,"Grogol Petamburan, Jakarta", 3 – 5 tahun,
"Mobile Engineering (Android, Kotlin)","Penjaringan, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 9.000.000
Financial Advisor,"Pondok Indah, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 6.000.000
Data Analyst Associates,"Kuningan, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 7.000.000
Copywriter (Product),Jakarta, 1 – 3 tahun, IDR 5.000.000 - 10.000.000
Sales Executive (penempatan di Bandung),"Jagakarsa, Jakarta", Kurang dari setahun,
Creative Writer,"Kemang, Jakarta", Kurang dari setahun,
Internship - Data Analyst,Tangerang, 1 – 3 tahun, IDR 6.000.000 - 7.000.000
Backend Developer,Depok, 1 – 3 tahun, IDR 3.000.000 - 4.000.000
Junior Finance and Accounting,"Cakung, Jakarta", 1 – 3 tahun, IDR 4.641.854 - 6.000.000
Purchasing (Vendor Relation),"Cakung, Jakarta", 1 – 3 tahun, IDR 3.000.000 - 3.500.000
Business Development Manager,Yogyakarta, 1 – 3 tahun, IDR 6.000.000 - 7.000.000
Widya Skilloka - Social Media Specialist (Freelance),"Pondok Indah, Jakarta", Kurang dari setahun, IDR 1.000.000 - 2.000.000
SPV Sales,Cirebon, 3 – 5 tahun, IDR 7.000.000 - 11.000.000
Product Manager,Jakarta, 3 – 5 tahun, IDR 8.500.000 - 9.500.000
GM- BD & Project Head ,"Kebayoran Baru, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 6.500.000
Customer Online Acquisition,Jakarta, 1 – 3 tahun, IDR 5.500.000 - 7.000.000
Human Resources Development Leader,"Gambir, Jakarta", 1 – 3 tahun, IDR 5.800.000 - 9.000.000
Web Developer,Tangerang, 1 – 3 tahun, IDR 4.500.000 - 6.000.000
Middle Net Developer,Jakarta, 3 – 5 tahun, IDR 3.000.000 - 5.000.000
Organization Development Executive,"Sunter, Jakarta", 1 – 3 tahun, IDR 3.500.000 - 4.500.000
UI/UX Designer,Jakarta, 1 – 3 tahun, IDR 4.500.000 - 5.500.000
HR & GA Manager,Bandung, 1 – 3 tahun, IDR 4.000.000 - 6.000.000
Mixologist,Malang, 5 – 10 tahun, IDR 10.000.000 - 15.000.000
Sales Associate/Manager,Jakarta, 3 – 5 tahun, IDR 8.000.000 - 12.000.000
Senior Graphic Designer,"Kuningan, Jakarta",, IDR 10.000.000 - 20.000.000
Fashion Stylist (Wardrobe),Yogyakarta,,
Creative Director,Jakarta, 3 – 5 tahun, IDR 8.000.000 - 12.000.000
Associate Intern,"Penjaringan, Jakarta", 1 – 3 tahun, IDR 5.500.000 - 9.000.000
IT Project Manager,Cilegon, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Office Manager,Jakarta, 3 – 5 tahun,Login to view estimated salary by Glints.
Marketing Communication Specialist,Sidoarjo, 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Quality Assurance,"Kemayoran, Jakarta", 3 – 5 tahun, IDR 5.000.000 - 15.000.000
Assistant Marketing Manager,Jakarta, 5 – 10 tahun, IDR 10.000.000 - 15.000.000
Social Media Copy,Surabaya, 3 – 5 tahun, IDR 8.000.000 - 12.000.000
DIGITAL MARKETING MANAGER,Jakarta, 1 – 3 tahun, IDR 6.500.000 - 7.500.000
Social Media Manager,Jakarta, 1 – 3 tahun, IDR 6.000.000 - 7.500.000
Sales Marketing,Surabaya, 3 – 5 tahun, IDR 7.500.000 - 12.000.000
Product Development (Bags/Fashion/Apparel),Jakarta, Kurang dari setahun, IDR 1.500.000 - 1.500.000
Data Project Assistant,Jakarta, 3 – 5 tahun, IDR 6.000.000 - 10.000.000
GRAPHIC DESIGNER,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
ELECTRONICS ENGINEER,"Kramat Jati, Jakarta", 3 – 5 tahun, IDR 8.000.000 - 12.000.000
Face to Face Fundraiser (Medan),Jakarta, 1 – 3 tahun, IDR 3.250.000 - 4.550.000
Face to Face Fundraiser (Cirebon),Jakarta, Kurang dari setahun, IDR 1.000.000 - 2.000.000
Face to Face Fundraiser (Bandung),Manado, 3 – 5 tahun, IDR 7.000.000 - 13.000.000
Quality Assurance Specialist,Jakarta, 1 – 3 tahun, IDR 6.000.000 - 7.000.000
IT Security Engineer,Tangerang, 3 – 5 tahun, IDR 8.000.000 - 12.000.000
QUALITY PHARMACIST,Bandung, Kurang dari setahun, IDR 1.500.000 - 1.500.000
Merchandise Data Analyst,Jakarta, 1 – 3 tahun, IDR 3.200.000 - 11.500.000
Telemarketing Sales,South Tangerang, 3 – 5 tahun, IDR 0 - 20.000.000
Account Executive,Jakarta,, IDR 1.500.000 - 2.500.000
Sales Area - Surabaya,Jakarta,,
Sales Area - Jabodetabek,"Tanah Abang, Jakarta", 1 – 3 tahun, IDR 3.500.000 - 4.500.000
Sales Area - Banda Aceh,"Kebayoran Lama, Jakarta", 5 – 10 tahun, IDR 10.000.000 - 15.000.000
Sales Area - Bandung,Bandung, 5 – 10 tahun, IDR 10.000.000 - 15.000.000
Advertiser,Jakarta, 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Merchandise Executive (Groceries Category),Jakarta, 1 – 3 tahun, IDR 4.000.000 - 6.000.000
DIGITAL ADS SPECIALIST,Bandung, 3 – 5 tahun, IDR 8.000.000 - 12.000.000
(JV2201017)Account Officer - Sales - Balikpapan,Jakarta, 1 – 3 tahun, IDR 6.000.000 - 7.500.000
IT Business Analyst,"Kemayoran, Jakarta", 1 – 3 tahun, IDR 4.700.000 - 6.500.000
Digital Marketing Manager,"Pondok Indah, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 5.000.000
IT Engineer,Kuta, 1 – 3 tahun, IDR 3.500.000 - 4.500.000
Sales Executive (penempatan di Palembang),Surabaya, Kurang dari setahun,
(JV2108003) Account Officer - Sales - Samarinda,"Kebon Jeruk, Jakarta", 3 – 5 tahun,
DIGITAL ADS SPECIALIST,Jakarta, 1 – 3 tahun, IDR 3.000.000 - 5.000.000
Quality Assurance Tester,"Palmerah, Jakarta", 1 – 3 tahun, IDR 4.500.000 - 6.000.000
Chief Operating Officer,Jakarta, 1 – 3 tahun, IDR 6.000.000 - 7.000.000
Quality Assurance,"Kembangan, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 8.000.000
System Engineer,Bantul, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Video Content Creator,Jakarta, 1 – 3 tahun, IDR 6.500.000 - 8.000.000
Copywriter,"SCBD, Jakarta", 3 – 5 tahun,Login to view estimated salary by Glints.
Senior Human Resource Team Culture,Jakarta, 5 – 10 tahun, IDR 7.000.000 - 7.000.100
HR Staff ,Tangerang, 3 – 5 tahun, IDR 7.000.000 - 12.000.000
Net Developer ,Jakarta, 3 – 5 tahun, IDR 5.200.000 - 8.000.000
Senior Web Developer,Serang, 1 – 3 tahun,
Social Media Specialist (Content Writer),"Kelapa Gading, Jakarta", 3 – 5 tahun, IDR 7.000.000 - 12.000.000
Customer Technical Support,"Cakung, Jakarta", 3 – 5 tahun, IDR 5.500.000 - 12.000.000
Game Developer,Surabaya, 3 – 5 tahun, IDR 8.000.000 - 10.000.000
Web Developer Bootstrap,Jakarta, 3 – 5 tahun,
Human Resources & General Affairs Officer,"SCBD, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Promotion Staff,"Kalideres, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Accounting Executive,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 9.000.000
Manager HRD & GA,Jakarta, 3 – 5 tahun,Login to view estimated salary by Glints.
Network Engineer,"Tebet, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 5.500.000
Business Intelligence (QlikView),Jakarta, 1 – 3 tahun, IDR 2.000.000 - 2.500.000
Programmer,Jakarta, 5 – 10 tahun, IDR 10.000.000 - 13.000.000
Host Live Streaming (Tiktok),"SCBD, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 5.000.000
Project Coordinator,"Kuningan, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 8.400.000
English-to-Indonesian Translator,"Grogol Petamburan, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 8.400.000
Human Resource & General Affair,"Kalideres, Jakarta", 3 – 5 tahun,
SENIOR ART DIRECTOR,Bogor, 1 – 3 tahun, IDR 4.500.000 - 5.000.000
PHP Software Developer - Yogyakarta,"Kebon Jeruk, Jakarta",, IDR 3.500.000 - 4.000.000
Digital Marketing,Tangerang,,
Group Account Director,Denpasar, 3 – 5 tahun, IDR 8.000.000 - 10.000.000
Network & System Administrator,"Tanah Abang, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Senior B2B Sales for Quipper Campus,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Business Development,"Kelapa Gading, Jakarta",,
Product Specialist (Security System),Jakarta, 1 – 3 tahun, IDR 5.000.000 - 6.000.000
Graphic Design,Jakarta, 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Ticketing,Surabaya, 1 – 3 tahun, IDR 4.000.000 - 10.000.000
ADMIN LEGAL,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Senior UX Designer,Bandung, 1 – 3 tahun, IDR 3.000.000 - 5.000.000
Social Media Marketing / Content Marketing,Jakarta, Kurang dari setahun,
UI/UX Designer,South Tangerang, 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Graphic Designer,Jakarta, 1 – 3 tahun, IDR 5.500.000 - 8.500.000
Account Executive,Malang, 1 – 3 tahun, IDR 4.500.000 - 7.000.000
Account Executive for POS Device,"Gambir, Jakarta", 1 – 3 tahun, IDR 4.500.000 - 7.000.000
Admin Intern,Surabaya, 1 – 3 tahun, IDR 6.000.000 - 8.000.000
CONTENT EDITOR DAN MARKETING,Jakarta, 3 – 5 tahun,
Telesales,Bandung, 1 – 3 tahun, IDR 6.000.000 - 7.000.000
Talent Management / Agency Management,Tangerang, 1 – 3 tahun, IDR 3.500.000 - 6.000.000
Social Media Specialist (Lotte Mart Pasar Rebo),Bekasi, 1 – 3 tahun, IDR 5.000.000 - 6.000.000
Distribution Staff,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 5.500.000
Billing Staff,"Penjaringan, Jakarta", 1 – 3 tahun, IDR 3.500.000 - 6.000.000
Videographer and Photographer Freelance,Depok, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Quality Assurance Staff,Jakarta, 1 – 3 tahun, IDR 6.000.000 - 7.500.000
Social Media Specialist,Malang, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Merchandiser B2B,Tangerang, 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Project Lead,"Pesanggrahan, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Digital Marketing Specialist,Tangerang, 1 – 3 tahun, IDR 5.000.000 - 9.000.000
Admin Sales Support,"Cakung, Jakarta", 1 – 3 tahun, IDR 4.500.000 - 7.000.000
(JV2205004) Policy Services - Solo,Jakarta, 3 – 5 tahun, IDR 6.000.000 - 10.000.000
Sales Engineer,Surabaya,, IDR 7.000.000 - 9.000.000
Public Relation,,,
Staff HRD,"Kebayoran Baru, Jakarta", 3 – 5 tahun, IDR 8.000.000 - 10.000.000
Supervisor Sales,"Grogol Petamburan, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Supervisor HR & Marketing,"Penjaringan, Jakarta", Kurang dari setahun,
Presales Tibero Database,Jakarta, Kurang dari setahun,
Product Presales Microstrategy,Surabaya, 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Merchant Services (Internship),"Menteng, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Sales Marketing Manager,Muara Enim, 1 – 3 tahun, IDR 3.000.000 - 4.500.000
Admin Sales Intern (Property),Surabaya, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
IT Project Manager -BI and Data Analytics,"Kebayoran Baru, Jakarta", Kurang dari setahun,
Community Engagement Officer,Jakarta, 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Sales/Account Executive,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 9.000.000
BUSINESS ANALYST,Bekasi, Lebih dari 10 tahun,
Online Customer Support Specialist,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 10.000.000
Sales and Accounts Team,Bandung, 3 – 5 tahun,
Frontend Developer,Jakarta, 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Finance Accounting Tax Staff,Makassar, 3 – 5 tahun, IDR 5.000.000 - 7.000.000
Sales & Marketing Team,"Kemayoran, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 8.000.000
MARKET ANALYST,Jakarta, 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Art Director,"Kelapa Gading, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 9.000.000
UI/UX Designer,Tangerang, 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Social Media Specialist Intern,"Tebet, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Graphic Designer Intern,Surabaya, 1 – 3 tahun, IDR 6.000.000 - 7.000.000
Photographer,Temanggung, 1 – 3 tahun, IDR 5.000.000 - 9.000.000
Copy Writer,Surabaya, 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Kitchen Helper (Daily Worker),, Kurang dari setahun,
JUNIOR GRAPHIC DESIGNER,Pamulang, 1 – 3 tahun, IDR 5.000.000 - 9.000.000
Laravel Back-End Developer,Palembang, 3 – 5 tahun, IDR 6.500.000 - 12.000.000
EdTech Illustrator and Motion Graphic Designer,"SCBD, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Sales Manager - B2B,"Cakung, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Account Executive - Digital Marketing Agency,Malang, 1 – 3 tahun, IDR 6.000.000 - 8.000.000
KOORDINATOR DEKKSON KNOWLEDGE SHOP,"Tebet, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Graphic Designer - Full Time,Jakarta, 1 – 3 tahun, IDR 5.500.000 - 8.500.000
Junior Content Writing,Jakarta, 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Product Compliance,Surabaya, 1 – 3 tahun, IDR 2.500.000 - 10.000.000
Accounting Reporting Officer,"Grogol Petamburan, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 9.000.000
Market Researcher / RnD (RESEARCH & DEVELOPMENT),Yogyakarta, 1 – 3 tahun, IDR 5.000.000 - 9.000.000
Quality Control Supervisor,Tangerang, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Digital Marketing,Surabaya, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
HR & GA Supervisor / HR Generalist,Batam, Kurang dari setahun,
Sales Perbankan,"Kebayoran Baru, Jakarta", Kurang dari setahun,
Sales Perbankan,Surabaya, Kurang dari setahun,
Recruitment Consultant Specialist,Jakarta, 1 – 3 tahun,
Creative Director,Bekasi, 1 – 3 tahun,
HRD Supervisor,"Pasar Minggu, Jakarta", 1 – 3 tahun,
Core Product Analyst,"Tanah Abang, Jakarta", 1 – 3 tahun, IDR 4.500.000 - 6.000.000
Sales Spv Batam,Tangerang, 1 – 3 tahun,
SPV Logistik,"Kebayoran Baru, Jakarta", 1 – 3 tahun, IDR 4.650.000 - 6.500.000
Business Development Officer,Jakarta, 3 – 5 tahun, IDR 9.000.000 - 10.000.000
Account Officer - Kupang,Tangerang, 3 – 5 tahun, IDR 9.000.000 - 10.000.000
Accountant ,Jakarta, 3 – 5 tahun, IDR 9.000.000 - 10.000.000
PRODUCT SPECIALIST ALKES,Tangerang, 3 – 5 tahun, IDR 9.000.000 - 10.000.000
Internship Social Media Admin,Yogyakarta, 1 – 3 tahun,
SALES MANAGER FARMASI AREA BANTEN,"SCBD, Jakarta", 3 – 5 tahun, IDR 7.000.000 - 12.000.000
Supervisor Store,Surabaya, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
UI/UX Designer ,Jakarta, 1 – 3 tahun, IDR 3.069.315 - 4.297.041
Section Head Warehouse,Jakarta, 3 – 5 tahun, IDR 7.000.000 - 12.000.000
React Native Mobile Apps Developer,"Kebon Jeruk, Jakarta", 1 – 3 tahun, IDR 3.000.000 - 7.000.000
SALES BODETABEK,Kuta, 1 – 3 tahun, IDR 4.500.000 - 5.500.000
Account Manager | Marketing | Partnership,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Customer Support Specialist,Bandung, 1 – 3 tahun, IDR 3.112.156 - 4.357.019
Angular/NodeJS Full Stack Developer (remote),Jakarta, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
ERP Support (Functional & Implementator System),Tangerang, 1 – 3 tahun, IDR 6.000.000 - 7.000.000
UI/UX Product Designer,Bandung, 3 – 5 tahun, IDR 8.000.000 - 10.000.000
Sales Executive - Denpasar,"Pondok Indah, Jakarta", 1 – 3 tahun, IDR 5.500.000 - 7.500.000
Business Development Executive ,"Kebon Jeruk, Jakarta", 1 – 3 tahun, IDR 5.500.000 - 7.500.000
Operations Executive,, 1 – 3 tahun, IDR 3.800.000 - 10.000.000
Marketing Support ,Jakarta, 1 – 3 tahun,
Program Development ,Surabaya, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Account Payable Supervisor,Jakarta, Kurang dari setahun, IDR 4.000.000
HRD Staff,Yogyakarta, 1 – 3 tahun,
(JV2105001) Account Officer  Sales - Lampung,, 3 – 5 tahun, IDR 6.000.000 - 10.000.000
Unity Game Developer(Remote Work),"Grogol Petamburan, Jakarta", 1 – 3 tahun, IDR 4.500.000 - 5.000.000
Sales Marketing,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Project Marketing Manager,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Senior Programmer Laravel,Jakarta, 1 – 3 tahun, IDR 4.500.000 - 7.000.000
Product Manager,Surabaya, 1 – 3 tahun, IDR 4.500.000 - 5.500.000
Regional Marketing Specialist,Surabaya, 1 – 3 tahun, IDR 5.000.000 - 6.500.000
Sales Executive - Jakarta,"Antasari, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 7.500.000
SMB (Small Medium Business) Sales,Jakarta, 3 – 5 tahun, IDR 7.500.000 - 10.000.000
INTERNSHIP ~ 1 semester for University Student,Jakarta, 1 – 3 tahun, IDR 4.500.000 - 6.500.000
Promotion Senior Staff,Jakarta, 1 – 3 tahun, IDR 4.500.000 - 9.000.000
STORE HEAD - YOGYAKARTA,"Kembangan, Jakarta", 3 – 5 tahun,Login to view estimated salary by Glints.
FIELD MARKETER,"Grogol Petamburan, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 5.000.000
Graphic Designer,Bekasi, 3 – 5 tahun, IDR 5.000.000 - 7.000.000
Marketing Supervisor,Bandung,, USD 700 - 1.000
Graphic Designer,"Cengkareng, Jakarta",,
Website Programmer,Surabaya, 1 – 3 tahun, IDR 3.500.000 - 5.500.000
Sales Marketing - EF English First Pluit,Bandung, 5 – 10 tahun,
Front End Developer,Bekasi, 1 – 3 tahun,
Account Manager (FEMALE) Medan Based,"Cengkareng, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 6.000.000
Account Manager (FEMALE) Bandung Based,Jakarta, Lebih dari 10 tahun,
Digital Designer,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 6.000.000
FINANCE & ACCOUNTING COORDINATOR,Bandung, 5 – 10 tahun, IDR 9.000.000 - 14.500.000
Purchasing Officer,"Menteng, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Marketing Perbankan,Bandung, 1 – 3 tahun, IDR 5.000.000 - 7.500.000
Full Stack Developer,Surabaya, 1 – 3 tahun, IDR 4.000.000 - 6.000.000
Telesales,Tangerang, 1 – 3 tahun, IDR 4.600.000 - 5.000.000
Sales Marketing,, Kurang dari setahun,
Account Receivable,"Menteng, Jakarta", 3 – 5 tahun,
Business Devlopement Manager,Bandung,, IDR 4.500.000 - 6.000.000
ACCOUNTING MANAGER,"Kebayoran Baru, Jakarta",,
Longan Video Editor Eat Sambel,Malang, Kurang dari setahun,Login to view estimated salary by Glints.
SITE COORIDNATOR MUARA LAWAI,Yogyakarta, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Seller Success Executive,"Kuningan, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Sales Executive,Semarang, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Admin,Malang, Kurang dari setahun, IDR 1.200.000 - 1.500.000
Event Management / Customer Success / Business Development,Yogyakarta, 1 – 3 tahun, IDR 3.000.000 - 4.500.000
Partnerships Internship,Bekasi, 1 – 3 tahun, IDR 3.900.000 - 4.000.000
Marketing and Communications Internship,Jakarta, 1 – 3 tahun, IDR 4.500.000 - 9.000.000
Capital Mobilisation Internship,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Full Stack Engineer,Bekasi, 1 – 3 tahun, IDR 4.500.000 - 6.000.000
Digital Marketing Specialist,Bandung, 1 – 3 tahun, IDR 4.500.000 - 6.000.000
Business Intelligence Analyst ,"Kelapa Gading, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Human Capital Manager,Bandung, 1 – 3 tahun, IDR 5.000.000 - 5.500.000
Personal Assistant to CEO,"Kebon Jeruk, Jakarta", 3 – 5 tahun, IDR 7.000.000 - 11.000.000
Account Executive Surabaya,Yogyakarta, 1 – 3 tahun, IDR 5.500.000 - 8.000.000
MARKETING STRATEGIC,Surabaya, 1 – 3 tahun, IDR 5.000.000 - 6.000.000
DIGITAL ADS SPECIALIST,Tangerang, 1 – 3 tahun, IDR 5.500.000 - 7.000.000
Technical Writer,"Kebayoran Baru, Jakarta", 1 – 3 tahun, IDR 4.500.000 - 5.000.000
Backend Developer,"Kebayoran Lama, Jakarta", 1 – 3 tahun, IDR 2.200.000 - 3.080.000
IT MERCHANT INTEGRATION STAFF,"Menteng, Jakarta", 3 – 5 tahun, IDR 6.000.000 - 7.000.000
Business Development Representative,Bandung, 1 – 3 tahun, IDR 4.375.500 - 5.500.000
Application Consultant - Banking Business,Jakarta, 1 – 3 tahun, IDR 2.000.000 - 3.000.000
Data Sciencist,Surabaya, 1 – 3 tahun, IDR 6.000.000 - 7.500.000
Flutter Developer,South Tangerang, 3 – 5 tahun, IDR 6.000.000 - 7.000.000
Store Supervisor ,"Jatinegara, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 7.000.000
TEXTILE DESIGNER,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Graphic Design Staff,Tangerang, Kurang dari setahun,
Sales Representative,"Menteng, Jakarta", 5 – 10 tahun, IDR 10.000.000 - 13.000.000
Full-Stack Mobile Developer,"Palmerah, Jakarta", Kurang dari setahun,
Electrical and Mechanical Engineer,"Kemayoran, Jakarta", 5 – 10 tahun,
Odoo Developer ,Medan, 1 – 3 tahun,
Admin Surat Jalan,Serpong, 1 – 3 tahun, IDR 5.000.000 - 7.500.000
(JV2204003) Account Officer - Sales - Malang,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Social Media Manager,"Penjaringan, Jakarta", 1 – 3 tahun, IDR 3.000.000 - 5.000.000
Quality ASsurance,"Kebon Jeruk, Jakarta", 1 – 3 tahun, IDR 3.000.000 - 5.000.000
Supervisor Area,Medan, 1 – 3 tahun,
Account Executive (KOL Agency),Cirebon, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Management Trainee Supervisor,Bandung, 1 – 3 tahun, IDR 6.000.000 - 7.000.000
Graphic Designer,Bogor, 1 – 3 tahun, IDR 6.000.000 - 7.000.000
Social Media and Community Manager,Jakarta, 1 – 3 tahun, IDR 6.000.000 - 7.000.000
ERP Consultant ,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Digital Marketing Strategist,"Pondok Indah, Jakarta", Kurang dari setahun,
Digital Marketing Staff,Jakarta, Kurang dari setahun,
Business Analyst ,Sorong, Kurang dari setahun,
Area Manager - Makassar,Surabaya, Kurang dari setahun,
Business Development Manager - Makassar,Jakarta, 1 – 3 tahun, IDR 1.500.000 - 2.500.000
UI/UX Designer,Banda Aceh, 1 – 3 tahun, IDR 4.000.000 - 5.000.000
Kepala Gudang / Warehouse Head ,Bandung, 1 – 3 tahun, IDR 5.000.000 - 7.500.000
Admin Media Sosial,Bandung, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Senior Web Developer,Jakarta, 5 – 10 tahun, IDR 8.000.000 - 15.000.000
Content Writer / Social Media Strategist,Bekasi, 1 – 3 tahun, IDR 4.800.000 - 8.000.000
Marketing & Sales Manager,Balikpapan, 1 – 3 tahun, IDR 4.500.000 - 5.000.000
Internship Program,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 6.000.000
Sales & Marketing,Kediri, 1 – 3 tahun, IDR 2.500.000 - 3.000.000
Marketing Staff,"Cakung, Jakarta", 1 – 3 tahun, IDR 4.500.000 - 5.500.000
